Mouse sp:299.8440275192261, total 6
Oven sp:1580.1015405654907, total 10
Pen sp:152.93691563606262, total 10
Phone sp:672.8446378707886, total 10
Pliers sp:215.17578887939453, total 10
Printer sp:1065.7680547237396, total 10
Refrigerator sp:1223.9160561561584, total 10
Remote sp:486.26295471191406, total 10
Safe sp:1282.6784727573395, total 10
Scissors sp:176.49309515953064, total 10
Stapler sp:546.7226147651672, total 10
StorageFurniture sp:1204.0032150745392, total 10
Suitcase sp:782.7749230861664, total 10
